selector,display,padding,font-family,color,font-size
".about__content--style2 .about__content-inner, .roadmap--style2 .roadmap__upper-inner, .roadmap--style1 .roadmap__item-header, .accordion__button, .comment__author, .comment__head, .tags--style2 ul, .tags ul, .sidebar__categorie-body ul li, .sidebar__recentpost-inner, .testimonial__author, .testimonial__footer, .blog-details__action-inner, .blog__writer, .floating-content__item--style4, .floating-content__item--style2, .social, .btn-group, .footer__end-links, .footer__app-inner, .footer__app, .account__check, .contact__item-inner, .subtitle, .menu, .header-wrapper .menu-area .header-btn, .header-wrapper .menu-area, .header-wrapper, .paginations ul li:not(:first-child, :last-child) a, .paginations ul li a, .swiper-nav", flex,,,,
".footer__app-inner, .account__social-btn, .subtitle--style2, .paginations ul li:not(:first-child, :last-child) a, .paginations ul li a",,,,,
".roadmap--style1 .roadmap__item-header, .accordion__button, .comment__head, .sidebar__categorie-body ul li, .testimonial__footer, .blog-details__action-inner, .account__check, .header-wrapper",,,,,
".about--style3 .about__content ul li, .roadmap--style2 .roadmap__upper-inner, .comment__author, .comment__head, .sidebar__categorie-body ul li, .sidebar__recentpost-inner, .testimonial__author, .testimonial__footer, .blog-details__action-inner, .blog-details__meta ul li, .blog__writer, .floating-content__item--style4, .floating-content__item--style2, .social, .btn-group, .text-btn, .trk-btn--outline3, .trk-btn--outline22, .trk-btn--outline2, .trk-btn--left span, .trk-btn--left, .trk-btn--arrowplay, .trk-btn--defult, .footer__end-links, .footer__end-copyright, .footer__app-inner, .footer__app, .account__check, .contact__item-inner, .banner--style3 .banner__counter-inner, .subtitle, .header-wrapper .menu-area .header-btn, .header-wrapper .menu-area, .header-wrapper, .paginations ul li:not(:first-child, :last-child) a, .paginations ul li a, .swiper-nav",,,,,
".about__icon-inner, .social__link--style4, .social__link--style6, .social__link--style5, .social__link--style3, .social__link--style22, .social__link--style2, .social__link--style1, .lightdark-switch span, .contact__item-thumb span, .swiper-nav__btn",,,,,
".about--style3 .about__content h2, .about__content--style2 .about__content-inner h2, .about__content--style2 .about__content-details h5, .about__content-inner h2, .roadmap--style1 .roadmap__item-header h3, .accordion__button, .comment__action a, .service-details__team h5, .error__content h2, .tags--style2 ul li a, .tags ul li a, .cta__subscribe h2, .blog-details__segment-content h5, .blog-details__content h3, .blog__content h5, .feature--style1 .feature__item-content h6, .floating-content__item--style2 p, .text-btn, .account__check-forgot a, .contact__social h3, .banner--style3 .banner__counter-item p, .banner__content-heading, .page-header__content h2, .section-header h2",,,,,
".roadmap--style2 .roadmap__upper-inner::after, .cta__shape-item--2, .account__thumb img, .banner--style2 .banner__wrapper--style2::after, .swiper-nav--style2 .swiper-nav__btn", none,,,,
".about--style3 .about__content ul li, .banner--style3 .banner__counter-inner, .header-wrapper  a", block,,,,
".about__content--style2 .about__content-inner, .roadmap--style2 .roadmap__upper-inner, .roadmap--style1 .roadmap__item-header, .accordion__button, .comment__author, .comment__head, .tags--style2 ul, .tags ul, .sidebar__categorie-body ul li, .sidebar__recentpost-inner, .testimonial__author, .testimonial__footer, .blog-details__action-inner, .blog__writer, .floating-content__item--style4, .floating-content__item--style2, .social, .btn-group, .footer__end-links, .footer__app-inner, .footer__app, .account__check, .contact__item-inner, .subtitle, .menu, .header-wrapper .menu-area .header-btn, .header-wrapper .menu-area, .header-wrapper, .paginations ul li:not(:first-child, :last-child) a, .paginations ul li a, .swiper-nav", flex,,,,
".about__icon-inner, .blog-details__meta ul, .social__link--style4, .social__link--style6, .social__link--style5, .social__link--style3, .social__link--style22, .social__link--style2, .social__link--style1, .lightdark-switch span, .contact__item-thumb span, .swiper-nav__btn", grid,,,,
